HealthIM,Provides police with an intelligence driven system to prevent crisis and reduce risk when supporting persons with mental illness in the community.
HearthStats,"(Acquired by GAMURS, 2016). Statistical feedback to help improve gamers’ performance."
Hedgehog,Redesigning the traditional disposable umbrella into a durable and long lasting product.
HelpWear,A 24/7 wearable heart monitoring system that detects when the user suffers a heart attack and contacts emergency services.
HITCH,HITCH makes hardware and software that intelligently delivers educational videos to private schools in emerging markets.
Hive,"Helping brands build, engage, and monetize their online audience."
ICSPI,"The smallest, most simple, and affordable Atomic Force Microscope on the market."
Indigo Fair,A wholesale marketplace for independent retail stores. 
Innovative Protein Technologies,A food-safe crop protection solution for farmers to protect against devastating frosts and ensure crop yields.
Jingu Apps,"(Acquired by Rebellion Media, 2012). Social apps that make any mobile chat experience more fun."
Kaizena,"A platform that allows educators to give high-quality feedback, and identify student abilities beyond test scores."
Kik,"An instant messaging app with over 300 million registered users that lets users connect with friends, and chat-based services."
Kira Talent,A platform that allows higher education admissions teams to add interactive videos and written components into admissions applications.
Kitematic,"(Acquired by Docker, 2015). Runs containers through a simple, yet powerful graphical user interface."
Labforge,A network of low energy sensors that use AI to track objects and their movements for perimeter security.
LabsCubed,Enabling companies to create new and innovative materials through enhanced testing methods.
Lace,"Makes it easy to find, compare, and purchase innovative solutions for cities, ranging from administration to transit."
Lightbot,Apps that teach kids to code through games.
Linkett,Provides live audience data for digital out of home advertising.
Load Army,A mobile app that makes it easy for contractors to order dump truck services.
Loop Lab,Smart Air Vents that manage temperature on a room by room basis to make your home more comfortable and efficient.
Lumotune,Transparent digital displays that look just like glass.
MAJiK Systems,Real-time monitoring and analytics that help manufacturers optimize production.
Maluuba,"(Acquired by Microsoft, 2017). Teaching machines to think, reason and communicate."
Mappedin,Dynamic wayfinding for the indoors.
Marlena Books,Therapeutic recreation products for individuals with Alzheimer’s or dementia.
Medella Health,"Medella Health develops novel sensors using machine learning to monitor health biomarkers for medical devices, ranging from smart contact lenses to point-of-care solutions. "
Medly Labs,A music making app to create songs and share them with people around the world.
MetricWire,"A mobile platform that helps organizations harness insights, analytics, and deeper audience connections in real-time."
Mirage VR,Bringing imagination into reality with a full-body tracking virtual reality experience.
Moocow Unicycles,Building durable and lightweight unicycles to optimize performance.
NanoCnet,"Nanomaterials to enable the creation of flexible, transparent electrodes."
NanoPhyll,Smart coatings that are engineered to respond to the local environment.
NanoQuan Inc.,"Manufactures advanced, high-performance nano composite materials."
NERv,An implantable biochip platform to detect post-operative complications.
Nicoya Lifesciences,Personal surface plasmon resonance (SPR) instruments designed for the individual researcher at the comfort of their own bench.
Oneset,A community app that shares workout ideas through 15 second videos.
OpenPhone,OpenPhone adds a second phone number to your existing mobile device along with powerful features to help your small business communicate better.
OSIMple,A mobile-first tool to assist bridge inspectors with their on-site inspections.
Ourotech,Personalized cancer treatments through measuring drug resistance ex vivo.
Palette,Palette is a modular hardware device that provides creators with personalized control of any software.
PASS Kit,"A first aid kit for mental health to decrease stress in individuals, and stigma in communities."
PaveAI,Google Analytics Simplified. PaveAI customizes analytics to your needs and emails you actionable reports from your data.
Pebble,"(Acquired by Fitbit, 2016). Smartwatches people love."
Pegasus Aeronautics,High endurance aerial platforms to extend drone flight times.
Penta Medical,A wearable therapeutic system to speed the recovery of injuries and chronic conditions.
PiinPoint,"A site selection platform that helps business owners discover, compare, and validate locations for expansion."
Pinpress,"Shape changing technology that reduces manufacturer downtime, consumption, and labor costs."
Pitstop,A cloud-based diagnostic platform for automotive vehicles.
Playticipate,Helping parents find local kids activities.
Plex.ai,An insurance broker that uses artificial intelligence to re-engineer insurance and risk management.
Pout,"(Acquired by Everalbum, 2016). A community for fashion, beauty, and inspiration."
ProNavigator,"A B2B company with an AI-powered assistant built for insurance. From getting quotes to asking questions, insurance is as easy as chatting!"
Prospect,Allows sales teams to accurately target B2B leads.
PumpUp,"A health and fitness app that provides personal coaching, workouts and a supportive community."
Qidni Labs,Artificial kidneys for patients with kidney failure.
Quantwave Technologies,"Provides faster, cheaper, and simpler pathogen detection for drinking water and food suppliers."
Rebel Hippo,Indie game studio.
Reebee,"An app for shoppers to browse flyers, create lists and search for products."
Relay,"A messaging platform that helps businesses communicate with customers and conduct transactions inside popular chat apps like Messenger, SMS, and Kik."
Salient Energy,"Cheaper, safer, and longer-lasting batteries for the grid."
Serenity Bioworks,Medicine formulas that improve the safety and long-term effectiveness of anti-inflammatory medication.
Sesame,"A platform for teachers that provides a living, visual record of student competencies."
ShiftRide,"ShiftRide is an on-demand mobility platform, allowing people to get access to other people’s cars nearby."
Singspiel,An app that helps you learn to play piano with the songs you love.
Sitata,Keeps you safe when you travel through real-time health & safety information and by connecting you to trusted support when you need help.
Site2Site,A mobile application to automate constructions job sites.
SiteVue,"A software platform that allows construction managers to capture, organize, and share moments on site with their entire project team."
Smarter Alloys,"Makes shape memory materials smarter smarter, lighter, and more reliable."
Sortable,"Automated ad operations, built by publishers for publishers to make ads suck less."
Sparkgig,An online marketplace for local musical performers to connect with event opportunities.
Suncayr,"A smart wearable patch that changes colour to indicate when sunscreen has worn off, helping sunscreen users safely enjoy the sun."
Tabnex,"An artificial intelligence platform that provides integrated intelligence on candidates to decrease the costs of hiring, and improve the quality of talent pipeline."
TallyFi,A simple handheld people-counting solution that provides a live online dashboard with insightful analytics.
Terrene,Terrene provides next level business insights by allowing anyone to quickly setup and deploy deep learning neural networks.
Thalmic Labs,Wearable technologies that integrate gesture control and human-computer interaction.
TicketFi,A simple yet powerful ticketing platform.
Tinker,Technology that builds trading algorithms for a variety of digital assets like Bitcoin.
TrendRadius,"(Acquired by Intelex, 2015). Customer feedback analytics for product managers."
TritonWear,High performance wearable tech for competitive swimmers.
Tugolo,"Tugolo enables authentic, unique, and culture-rich travel experiences."
Ubiq,Simplifying the AV setup of conference rooms by making it wireless.
UHWK,A durable helmet-mounted HD video camera for athletes.
UpGrain,Maximizing productivity of seeds through exposure to electromagnetic fields.
Vena Medical,Vena Medical is creating a forward viewing imaging microcatheter that allows physicians to see inside patient blood vessels.
Vertical,Custom augmented reality experiences for any device.
Vidyard,"An online video platform for marketing and sales that provides video hosting, management, and analytics."
VivaSpire,Compact and portable oxygen delivery systems for patients in need of oxygen therapy.
Voltera,A desktop circuit board printer that helps build hardware faster.
Willow Cup,Sustainable plant-based milk that is delicious and nutritious.
WorldVuze,WorldVuze is a safe global discussion platform where K-12 students can share and explore perspectives with other students around the world.
Wriber,A content optimization platform that helps you drive more traffic and customers to your website.
zpharm,Innovative medicines for a variety of disease states.
